year,quarter,cik,accession,company_name,form_type,date_filed,contract_link,exhibit,exhibit_lead,content_type,label,parties,parties_raw,image_count,ocr_labeled,amend,restate,joinder,termination,archive_name
2003,QTR2,1000753,000095012903002721,ADMINISTAFF INC  DE ,10-Q,2003-05-14,https://mcc.law.stanford.edu/data/1000753/000095012903002721/h05862exv10w1.txt,EX-10.1,EX-10,text/plain,services,"[""administaff inc de"",""american express travel related services company inc"",""general counsels office"",""world financial center amex tower new york""]","[""administaff inc de"",""american express travel related services company inc"",""american express travel related services inc"",""general counsel's office"",""world financial center amex tower new york""]",0,false,true,false,false,false,1000753/000095012903002721/h05862exv10w1.txt
2002,QTR2,1001082,000095013402004446,ECHOSTAR COMMUNICATIONS CORP,10-Q,2002-05-02,https://mcc.law.stanford.edu/data/1001082/000095013402004446/d96354ex10-4.txt,EX-10.4,EX-10,text/plain,services,"[""echostar communications corp"",""echostar orbital corporation"",""lockheed martin commercial launch services inc""]","[""echostar communications corp"",""echostar orbital corporation"",""lockheed martin commercial launch services inc""]",0,false,true,false,false,false,1001082/000095013402004446/d96354ex10-4.txt
2002,QTR2,1001082,000095013402004446,ECHOSTAR COMMUNICATIONS CORP,10-Q,2002-05-02,https://mcc.law.stanford.edu/data/1001082/000095013402004446/d96354ex10-6.txt,EX-10.6,EX-10,text/plain,services,"[""echostar communications corp"",""echostar satellite corporation"",""echostar technologies corporation"",""thomson multimedia inc""]","[""echostar communications corp"",""echostar satellite corporation"",""echostar technologies corporation"",""thomson multimedia inc""]",0,false,true,false,false,false,1001082/000095013402004446/d96354ex10-6.txt
2002,QTR2,1001082,000095013402004446,ECHOSTAR COMMUNICATIONS CORP,10-Q,2002-05-02,https://mcc.law.stanford.edu/data/1001082/000095013402004446/d96354ex10-7.txt,EX-10.7,EX-10,text/plain,services,"[""echostar communications corp"",""echostar satellite corporation"",""echostar technologies corporation"",""thomson multimedia inc""]","[""echostar communications corp"",""echostar satellite corporation"",""echostar technologies corporation"",""thomson multimedia inc""]",0,false,true,false,false,false,1001082/000095013402004446/d96354ex10-7.txt
2002,QTR2,1001082,000095013402004446,ECHOSTAR COMMUNICATIONS CORP,10-Q,2002-05-02,https://mcc.law.stanford.edu/data/1001082/000095013402004446/d96354ex10-8.txt,EX-10.8,EX-10,text/plain,services,"[""echostar communications corp"",""echostar satellite corporation"",""echostar technologies corporation"",""thomson multimedia inc""]","[""echostar communications corp"",""echostar satellite corporation"",""echostar technologies corporation"",""thomson multimedia inc""]",0,false,true,false,false,false,1001082/000095013402004446/d96354ex10-8.txt
2004,QTR2,1001082,000095013404006764,ECHOSTAR COMMUNICATIONS CORP,10-Q,2004-05-06,https://mcc.law.stanford.edu/data/1001082/000095013404006764/d15062exv10w2.txt,EX-10.2,EX-10,text/plain,services,"[""echostar communications corp"",""echostar satellite corporation"",""ses americom california inc"",""ses americom colorado inc"",""ses americom inc""]","[""echostar communications corp"",""echostar satellite corporation"",""echostar satellite llc"",""ses americom california inc"",""ses americom colorado inc"",""ses americom inc""]",0,false,true,false,false,false,1001082/000095013404006764/d15062exv10w2.txt
2004,QTR2,1001082,000095013404006764,ECHOSTAR COMMUNICATIONS CORP,10-Q,2004-05-06,https://mcc.law.stanford.edu/data/1001082/000095013404006764/d15062exv10w3.txt,EX-10.3,EX-10,text/plain,services,"[""echostar communications corp"",""echostar satellite corporation"",""ses americom california inc"",""ses americom colorado inc"",""ses americom inc""]","[""echostar communications corp"",""echostar satellite ll"",""ses americom california inc"",""ses americom colorado inc"",""ses americom inc""]",0,false,true,false,false,false,1001082/000095013404006764/d15062exv10w3.txt
2004,QTR2,1001082,000095013404006764,ECHOSTAR COMMUNICATIONS CORP,10-Q,2004-05-06,https://mcc.law.stanford.edu/data/1001082/000095013404006764/d15062exv10w5.txt,EX-10.5,EX-10,text/plain,services,"[""charles w ergen"",""echostar communications corp"",""echostar dbs corporation"",""echostar satellite corporation"",""telesat board"",""telesat canada""]","[""charles w ergen"",""echostar communications corp"",""echostar dbs corporation"",""echostar satellite llc"",""telesat board"",""telesat canada""]",0,false,true,false,false,false,1001082/000095013404006764/d15062exv10w5.txt
2004,QTR2,1001604,000100160404000041,EMERITUS CORP WA ,10-Q,2004-05-13,https://mcc.law.stanford.edu/data/1001604/000100160404000041/exhibit105215.txt,EX-10,EX-10,text/plain,services,"[""al investors llc"",""emeritrust"",""emeritus corp wa"",""emeritus corporation"",""emeritus management llc"",""texas manager""]","[""al investors llc"",""emeritrust"",""emeritus corp wa"",""emeritus corporation"",""emeritus management i"",""emeritus management llc"",""texas manager""]",0,false,true,false,false,false,1001604/000100160404000041/exhibit105215.txt
2001,QTR2,1002390,000091205701517510,INSIGNIA SOLUTIONS PLC,10-K/A,2001-05-24,https://mcc.law.stanford.edu/data/1002390/000091205701517510/a2047603zex-10_65.txt,EX-10.65,EX-10,text/plain,services,"[""insignia solutions plc"",""wind river systems inc"",""wrs""]","[""insignia solutions inc"",""insignia solutions plc"",""wind river systems inc"",""wrs""]",0,false,true,false,false,false,1002390/000091205701517510/a2047603zex-10_65.txt
2002,QTR2,1004539,000115697302000310,AIRPLANES LTD,10-K,2002-06-25,https://mcc.law.stanford.edu/data/1004539/000115697302000310/u45023exv10w4.txt,EX-10.4,EX-10,text/plain,services,"[""aerousa inc"",""airplanes holdings limited"",""airplanes ltd"",""airplanes u"",""debis airfinance financial services limited"",""debis airfinance ireland plc airplanes limited"",""us trust corporation""]","[""aerousa inc"",""airplanes holdings limited"",""airplanes ltd"",""airplanes u"",""debis airfinance financial services (ireland) limited"",""debis airfinance ireland plc airplanes limited"",""s trust""]",0,false,true,false,false,false,1004539/000115697302000310/u45023exv10w4.txt
2003,QTR2,1004539,000115697303001015,AIRPLANES LTD,10-K,2003-06-30,https://mcc.law.stanford.edu/data/1004539/000115697303001015/u46196exv10w5.txt,EX-10.5,EX-10,text/plain,services,"[""aerousa inc"",""airplanes ltd"",""airplanes us trust"",""debis airfinance financial services limited"",""debis airfinance ireland plc airplanes limited airplanes holdings limited""]","[""aerousa inc"",""airplanes ltd"",""airplanes us trust"",""debis airfinance financial services (ireland) limited"",""debis airfinance ireland plc airplanes limited airplanes holdings limited""]",0,false,true,false,false,false,1004539/000115697303001015/u46196exv10w5.txt
2003,QTR2,1004960,000089161803002553,CONNETICS CORP,10-Q,2003-05-14,https://mcc.law.stanford.edu/data/1004960/000089161803002553/f89543exv10w1.txt,EX-10.1,EX-10,text/plain,services,"[""apg"",""connetics corp"",""connetics corporation""]","[""apg"",""connetics corp"",""connetics corporation""]",0,false,true,true,false,false,1004960/000089161803002553/f89543exv10w1.txt
2001,QTR2,1004981,000095015201502579,NATIONAL AUTO CREDIT INC  DE,10-Q,2001-06-14,https://mcc.law.stanford.edu/data/1004981/000095015201502579/l88886aex10-1.txt,EX-10.1,EX-10,text/plain,services,"[""nac"",""national auto credit inc de"",""robert b dixon""]","[""nac"",""national auto credit inc de"",""robert b dixon""]",0,false,true,false,false,false,1004981/000095015201502579/l88886aex10-1.txt
2004,QTR2,1004989,000091068004000548,SPAR GROUP INC,10-Q,2004-05-21,https://mcc.law.stanford.edu/data/1004989/000091068004000548/ex10_1-f10q033104.txt,EX-10,EX-10,text/plain,services,"[""sms"",""spar group inc"",""spar marketing force inc"",""spar marketing services inc""]","[""sms"",""spar group inc"",""spar marketing force inc"",""spar marketing services inc""]",0,false,true,true,false,false,1004989/000091068004000548/ex10_1-f10q033104.txt
2004,QTR2,1004989,000091068004000548,SPAR GROUP INC,10-Q,2004-05-21,https://mcc.law.stanford.edu/data/1004989/000091068004000548/ex10_2-f10q033104.txt,EX-10,EX-10,text/plain,services,"[""spar group inc"",""spar management services inc"",""spar marketing force inc"",""spar marketing services inc""]","[""smsi"",""spar group inc"",""spar management services inc"",""spar marketing force inc"",""spar marketing services inc""]",0,false,true,true,false,false,1004989/000091068004000548/ex10_2-f10q033104.txt
2004,QTR2,1004989,000091068004000548,SPAR GROUP INC,10-Q,2004-05-21,https://mcc.law.stanford.edu/data/1004989/000091068004000548/ex10_3-f10q033104.txt,EX-10,EX-10,text/plain,services,"[""sit"",""spar group inc"",""spar infotech inc"",""spar marketing force inc""]","[""sit"",""spar group inc"",""spar infotech inc"",""spar marketing force inc""]",0,false,true,true,false,false,1004989/000091068004000548/ex10_3-f10q033104.txt
2005,QTR2,1006655,000114420405014795,NATURAL GAS SYSTEMS INC NEW,8-K,2005-05-11,https://mcc.law.stanford.edu/data/1006655/000114420405014795/v017890_amend.txt,EX-10.3,EX-10,text/plain,services,"[""liviakis financial communications inc"",""natural gas systems inc new""]","[""liviakis financial communications inc"",""natural gas systems inc new""]",0,false,true,false,false,false,1006655/000114420405014795/v017890_amend.txt
2002,QTR2,1008586,000095015202004664,LANVISION SYSTEMS INC,10-Q,2002-06-04,https://mcc.law.stanford.edu/data/1008586/000095015202004664/l94710aexv10.txt,EX-10,EX-10,text/plain,services,"[""idx information systems corporation"",""lanvision inc"",""lanvision systems inc""]","[""idx information systems corporation"",""lanvision inc"",""lanvision systems inc""]",0,false,true,false,false,false,1008586/000095015202004664/l94710aexv10.txt
2001,QTR2,1009575,000095014401502476,WEBMD CORP  NEW ,10-Q,2001-05-15,https://mcc.law.stanford.edu/data/1009575/000095014401502476/g69184ex10-2.txt,EX-10.2,EX-10,text/plain,services,"[""eastrise profits limited"",""fox entertainment group inc"",""star"",""webmd corp new"",""webmd corporation""]","[""eastrise profits limited"",""fox entertainment group inc"",""star"",""webmd corp new"",""webmd corporation""]",0,false,true,false,false,false,1009575/000095014401502476/g69184ex10-2.txt
2002,QTR2,1009626,000089161802002631,BROCADE COMMUNICATIONS SYSTEMS INC,10-Q,2002-05-30,https://mcc.law.stanford.edu/data/1009626/000089161802002631/f82034exv10w4.txt,EX-10.4,EX-10,text/plain,services,"[""brocade communications systems inc"",""patrick johnston""]","[""brocade communications systems inc"",""patrick johnston""]",0,false,true,false,false,false,1009626/000089161802002631/f82034exv10w4.txt
2003,QTR2,1009626,000089161803002911,BROCADE COMMUNICATIONS SYSTEMS INC,10-Q,2003-06-09,https://mcc.law.stanford.edu/data/1009626/000089161803002911/f90751exv10w50.txt,EX-10.50,EX-10,text/plain,services,"[""brocade communications systems inc"",""hon hai precision industry co ltd""]","[""brocade communications systems inc"",""hon hai precision industry co ltd""]",0,false,true,false,false,false,1009626/000089161803002911/f90751exv10w50.txt
2003,QTR2,1009626,000089161803002911,BROCADE COMMUNICATIONS SYSTEMS INC,10-Q,2003-06-09,https://mcc.law.stanford.edu/data/1009626/000089161803002911/f90751exv10w53.txt,EX-10.53,EX-10,text/plain,services,"[""brocade communications systems inc"",""solectron corporation""]","[""brocade communications systems inc"",""solectron corporation""]",0,false,true,false,false,false,1009626/000089161803002911/f90751exv10w53.txt
2001,QTR2,1009918,000093176301000723,NOVA CORP  GA ,10-K,2001-04-02,https://mcc.law.stanford.edu/data/1009918/000093176301000723/0000931763-01-000723-0003.txt,EX-10.22,EX-10,text/plain,services,"[""first union corporation"",""first union national bank"",""func"",""nova corp ga"",""nova corporation"",""nova holdings llc"",""nova information systems inc""]","[""first union corporation"",""first union national bank"",""funb"",""func"",""nova corp ga"",""nova corporation"",""nova holdings inc"",""nova information systems inc""]",0,false,true,false,false,false,1009918/000093176301000723/0000931763-01-000723-0003.txt
2000,QTR2,1010915,000095000500000756,MICROCIDE PHARMACEUTICALS INC,10-Q/A,2000-06-19,https://mcc.law.stanford.edu/data/1010915/000095000500000756/0000950005-00-000756-0002.txt,EX-10.29,EX-10,text/plain,services,"[""daiichi pharmaceutical co ltd"",""microcide pharmaceuticals inc"",""mpi""]","[""daiichi pharmaceutical co ltd"",""microcide pharmaceuticals inc"",""mpi""]",0,false,true,false,false,false,1010915/000095000500000756/0000950005-00-000756-0002.txt
2000,QTR2,1010915,000095000500000756,MICROCIDE PHARMACEUTICALS INC,10-Q/A,2000-06-19,https://mcc.law.stanford.edu/data/1010915/000095000500000756/0000950005-00-000756-0003.txt,EX-10.30,EX-10,text/plain,services,"[""microcide pharmaceuticals inc"",""pfizer inc""]","[""microcide pharmaceuticals inc"",""pfizer inc""]",0,false,true,false,false,false,1010915/000095000500000756/0000950005-00-000756-0003.txt
2002,QTR2,1010915,000102140802006983,ESSENTIAL THERAPEUTICS INC,10-Q,2002-05-15,https://mcc.law.stanford.edu/data/1010915/000102140802006983/dex103.txt,EX-10.3,EX-10,text/plain,services,"[""essential therapeutics inc"",""maret corporation"",""university of southern california""]","[""essential therapeutics inc"",""maret corporation"",""university of southern california""]",0,false,true,false,false,false,1010915/000102140802006983/dex103.txt
2002,QTR2,1010915,000102140802006983,ESSENTIAL THERAPEUTICS INC,10-Q,2002-05-15,https://mcc.law.stanford.edu/data/1010915/000102140802006983/dex104.txt,EX-10.4,EX-10,text/plain,services,"[""essential therapeutics inc"",""maret corporation"",""university of southern california""]","[""essential therapeutics inc"",""maret corporation"",""university of southern california""]",0,false,true,false,false,false,1010915/000102140802006983/dex104.txt
2002,QTR2,1010915,000102140802006983,ESSENTIAL THERAPEUTICS INC,10-Q,2002-05-15,https://mcc.law.stanford.edu/data/1010915/000102140802006983/dex105.txt,EX-10.5,EX-10,text/plain,services,"[""essential therapeutics inc"",""maret corporation"",""university of southern california""]","[""essential therapeutics inc"",""maret corporation"",""university of southern california""]",0,false,true,false,false,false,1010915/000102140802006983/dex105.txt
2001,QTR2,1011582,000095013301501179,DIGENE CORP,10-Q,2001-05-15,https://mcc.law.stanford.edu/data/1011582/000095013301501179/w47960ex10-2a.txt,EX-10.2(A),EX-10,text/plain,services,"[""digene corp"",""digene corporation"",""tropix inc""]","[""digene corp"",""digene corporation"",""tropix inc""]",0,false,true,false,false,false,1011582/000095013301501179/w47960ex10-2a.txt
2001,QTR2,1011582,000095013301501179,DIGENE CORP,10-Q,2001-05-15,https://mcc.law.stanford.edu/data/1011582/000095013301501179/w47960ex10-2b.txt,EX-10.2(B),EX-10,text/plain,services,"[""digene corp"",""digene corporation"",""tropix inc""]","[""digene corp"",""digene corporation"",""tropix inc""]",0,false,true,false,false,false,1011582/000095013301501179/w47960ex10-2b.txt
2002,QTR2,1011657,000101165702000014,TITANIUM METALS CORP,10-Q,2002-05-14,https://mcc.law.stanford.edu/data/1011657/000101165702000014/tie10q1q01exhibit10-2.txt,EX-10,EX-10,text/plain,services,"[""timet"",""titanium metals corporation"",""tremont corporation""]","[""timet"",""titanium metals corp"",""titanium metals corporation"",""tremont corporation""]",0,false,true,false,false,false,1011657/000101165702000014/tie10q1q01exhibit10-2.txt
2001,QTR2,1012159,000102140801501800,AVIATION SALES CO,8-K,2001-06-08,https://mcc.law.stanford.edu/data/1012159/000102140801501800/dex107.txt,EX-10.7,EX-10,text/plain,services,"[""aviation sales co"",""aviation sales company"",""harber group"",""lacy j harber"",""ljh corporation""]","[""aviation sales co"",""aviation sales company"",""harber group"",""lacy j harber"",""ljh corporation""]",0,false,true,false,false,false,1012159/000102140801501800/dex107.txt
2004,QTR2,1013243,000095014404006287,AAIPHARMA INC,10-K,2004-06-15,https://mcc.law.stanford.edu/data/1013243/000095014404006287/g87794exv10w23.txt,EX-10.23,EX-10,text/plain,services,"[""aaipharma inc"",""mikart inc""]","[""aaipharma inc"",""mikart inc""]",0,false,true,false,false,false,1013243/000095014404006287/g87794exv10w23.txt
2001,QTR2,1014473,000101287001501081,VERISIGN INC CA,8-K,2001-06-01,https://mcc.law.stanford.edu/data/1014473/000101287001501081/dex996.txt,EX-99.6,EX-99,text/plain,services,"[""network solutions inc"",""nsi"",""verisign inc ca""]","[""network solutions inc"",""nsi"",""verisign inc ca""]",0,false,true,false,false,false,1014473/000101287001501081/dex996.txt
2001,QTR2,1014852,000092735601500163,EARTHWATCH INC,10-Q,2001-05-15,https://mcc.law.stanford.edu/data/1014852/000092735601500163/dex1012a.txt,EX-10.12(A),EX-10,text/plain,services,"[""delta launch services inc"",""dls"",""earthwatch inc""]","[""delta launch services inc"",""dls"",""earthwatch inc""]",0,false,true,false,false,false,1014852/000092735601500163/dex1012a.txt
2001,QTR2,1015155,000092838501500737,CHARLES   COLVARD LTD,10-Q,2001-05-09,https://mcc.law.stanford.edu/data/1015155/000092838501500737/dex1046.txt,EX-10.46,EX-10,text/plain,services,"[""c3 inc"",""charles and colvard ltd"",""charles colvard ltd"",""jmb"",""john m bachman inc""]","[""c3 inc"",""charles and colvard ltd"",""charles colvard ltd"",""jmb"",""john m bachman inc""]",0,false,true,false,false,false,1015155/000092838501500737/dex1046.txt
2002,QTR2,1015155,000102140802006418,CHARLES   COLVARD LTD,10-Q,2002-05-09,https://mcc.law.stanford.edu/data/1015155/000102140802006418/dex1052.txt,EX-10.52,EX-10,text/plain,services,"[""c3 inc"",""charles and colvard ltd"",""charles colvard ltd"",""jmb"",""john m bachman inc""]","[""c3 inc"",""charles and colvard ltd"",""charles colvard ltd"",""jmb"",""john m bachman inc""]",0,false,true,false,false,false,1015155/000102140802006418/dex1052.txt
2003,QTR2,1015650,000114554903000647,SK TELECOM CO LTD,20-F,2003-06-03,https://mcc.law.stanford.edu/data/1015650/000114554903000647/u98524exv10w6.txt,EX-10.6,EX-10,text/plain,services,"[""sk telecom co ltd""]","[""sk telecom co ltd""]",0,false,true,false,false,false,1015650/000114554903000647/u98524exv10w6.txt
2007,QTR2,1016613,000089109207001237,LQ CORP INC,10-K,2007-04-02,https://mcc.law.stanford.edu/data/1016613/000089109207001237/e26785ex10_11.txt,EX-10.11,EX-10,text/plain,services,"[""barington capital group lp"",""bcg"",""lkq corporation"",""lq corp inc""]","[""barington capital group lp"",""bcg"",""l q corporation inc"",""lq corp inc""]",0,false,true,false,false,false,1016613/000089109207001237/e26785ex10_11.txt
2006,QTR2,1016613,000112528206002841,LQ CORP INC,10-Q,2006-05-15,https://mcc.law.stanford.edu/data/1016613/000112528206002841/b413299_ex10-86.txt,EX-10.86,EX-10,text/plain,services,"[""barington capital group lp"",""bcg"",""lkq corporation"",""lq corp inc""]","[""barington capital group lp"",""bcg"",""l q corporation inc"",""lq corp inc""]",0,false,true,false,false,false,1016613/000112528206002841/b413299_ex10-86.txt
2006,QTR2,1016613,000112528206002943,LQ CORP INC,10-Q/A,2006-05-18,https://mcc.law.stanford.edu/data/1016613/000112528206002943/b413377_ex10-86.txt,EX-10.86,EX-10,text/plain,services,"[""barington capital group lp"",""bcg"",""lkq corporation"",""lq corp inc""]","[""barington capital group lp"",""bcg"",""l q corporation inc"",""lq corp inc""]",0,false,true,false,false,false,1016613/000112528206002943/b413377_ex10-86.txt
2006,QTR2,1016613,000112528206002957,LQ CORP INC,10-Q/A,2006-05-19,https://mcc.law.stanford.edu/data/1016613/000112528206002957/b413406_ex10-86.txt,EX-10.86,EX-10,text/plain,services,"[""barington capital group lp"",""bcg"",""lkq corporation"",""lq corp inc""]","[""barington capital group lp"",""bcg"",""l q corporation inc"",""lq corp inc""]",0,false,true,false,false,false,1016613/000112528206002957/b413406_ex10-86.txt
2004,QTR2,1016933,000095014404005135,R G FINANCIAL CORP,10-Q,2004-05-10,https://mcc.law.stanford.edu/data/1016933/000095014404005135/g88967exv10w3w1.txt,EX-10.3.1,EX-10,text/plain,services,"[""commonwealth of puerto rico"",""guaynabo federal savings bank"",""r-g financial corporation"",""randg mortgage corporation"",""randg premier bank of puerto rico""]","[""commonwealth of puerto rico"",""guaynabo federal savings bank"",""r g financial corp"",""randg mortgage corp"",""randg premier bank of puerto rico""]",0,false,true,false,false,false,1016933/000095014404005135/g88967exv10w3w1.txt
2003,QTR2,1017837,000111650203000666,PHONE1GLOBALWIDE INC,8-K,2003-04-15,https://mcc.law.stanford.edu/data/1017837/000111650203000666/firstamend101.txt,EX-10.1,EX-10,text/plain,services,"[""pacific bell telephone company"",""phone1 inc"",""phone1globalwide inc"",""sbc california"",""sbc pay phones"",""sbc services inc""]","[""pacific bell telephone company"",""phone1 inc"",""phone1globalwide inc"",""sbc california"",""sbc pay phones"",""sbc services inc""]",0,false,true,false,false,false,1017837/000111650203000666/firstamend101.txt
2002,QTR2,1017958,000093066102001634,RMH TELESERVICES INC,10-K/A,2002-05-13,https://mcc.law.stanford.edu/data/1017958/000093066102001634/dex1042.txt,EX-10.42,EX-10,text/plain,services,"[""rmh teleservices inc"",""united parcel services oasis supply corporation"",""ups""]","[""rmh teleservices inc"",""rmh teleservices incorporated"",""united parcel services oasis supply corporation"",""ups""]",0,false,true,false,false,false,1017958/000093066102001634/dex1042.txt
2002,QTR2,1017958,000093066102001634,RMH TELESERVICES INC,10-K/A,2002-05-13,https://mcc.law.stanford.edu/data/1017958/000093066102001634/dex1045.txt,EX-10.45,EX-10,text/plain,services,"[""mci worldcom communications inc"",""rmh teleservices inc""]","[""mci worldcom communications inc"",""rmh teleservices inc"",""rmh teleservices incorporated""]",0,false,true,false,false,false,1017958/000093066102001634/dex1045.txt
2002,QTR2,1018152,000089924302001126,CASTLE DENTAL CENTERS INC,10-K,2002-04-16,https://mcc.law.stanford.edu/data/1018152/000089924302001126/dex105.txt,EX-10.5,EX-10,text/plain,services,"[""business manager"",""castle 1st dental care pa"",""castle dental centers inc"",""castle dental centers of florida inc""]","[""business manager"",""castle 1st dental care pa"",""castle dental centers inc"",""castle dental centers of florida inc""]",0,false,true,true,false,false,1018152/000089924302001126/dex105.txt
2003,QTR2,1018152,000089924303000891,CASTLE DENTAL CENTERS INC,10-K,2003-04-15,https://mcc.law.stanford.edu/data/1018152/000089924303000891/dex1016.txt,EX-10.16,EX-10,text/plain,services,"[""business manager"",""castle dental associates of texas pc"",""castle dental centers inc"",""castle dental centers of texas inc"",""jack h castle dds pc""]","[""business manager"",""castle dental associates of texas pc"",""castle dental centers inc"",""castle dental centers of texas inc"",""jack h castle dds pc""]",0,false,true,true,false,false,1018152/000089924303000891/dex1016.txt
2003,QTR2,1018152,000089924303000891,CASTLE DENTAL CENTERS INC,10-K,2003-04-15,https://mcc.law.stanford.edu/data/1018152/000089924303000891/dex1017.txt,EX-10.17,EX-10,text/plain,services,"[""castle 1st dental care pa"",""castle dental centers inc"",""castle dental centers of florida inc""]","[""castle 1st dental care pa"",""castle dental centers inc"",""castle dental centers of florida inc""]",0,false,true,true,false,false,1018152/000089924303000891/dex1017.txt
2001,QTR2,1019695,000095013501501238,ARQULE INC,10-Q,2001-05-14,https://mcc.law.stanford.edu/data/1019695/000095013501501238/b39224aiex10-1.txt,EX-10.1,EX-10,text/plain,services,"[""arqule inc"",""solvay pharmaceuticals inc""]","[""arqule inc"",""solvay pharmaceuticals bv""]",0,false,true,true,false,false,1019695/000095013501501238/b39224aiex10-1.txt
2001,QTR2,1021352,000095013401501430,JCC HOLDING CO,10-K/A,2001-05-10,https://mcc.law.stanford.edu/data/1021352/000095013401501430/d85930ex10-02.txt,EX-10.02,EX-10,text/plain,services,"[""gaming board"",""jazz cas"",""jcc holding co"",""louisiana gaming control board""]","[""gaming board"",""jazz cas"",""jcc holding co"",""louisiana gaming control board""]",0,false,true,false,false,false,1021352/000095013401501430/d85930ex10-02.txt
2001,QTR2,1021352,000095013401501430,JCC HOLDING CO,10-K/A,2001-05-10,https://mcc.law.stanford.edu/data/1021352/000095013401501430/d85930ex10-03.txt,EX-10.03,EX-10,text/plain,services,"[""gaming board"",""jazz casino company llc"",""jcc holding co"",""louisiana gaming control board""]","[""gaming board"",""jazz casino company l"",""jcc holding co"",""louisiana gaming control board""]",0,false,true,true,false,false,1021352/000095013401501430/d85930ex10-03.txt
2001,QTR2,1021352,000095013401501430,JCC HOLDING CO,10-K/A,2001-05-10,https://mcc.law.stanford.edu/data/1021352/000095013401501430/d85930ex10-04.txt,EX-10.04,EX-10,text/plain,services,"[""harrahs new orleans management company"",""jazz casino company llc"",""jcc holding co""]","[""harrah's new orleans management company"",""jazz casino company llc"",""jcc holding co""]",0,false,true,true,false,false,1021352/000095013401501430/d85930ex10-04.txt
2001,QTR2,1021352,000095013401501430,JCC HOLDING CO,10-K/A,2001-05-10,https://mcc.law.stanford.edu/data/1021352/000095013401501430/d85930ex10-05.txt,EX-10.05,EX-10,text/plain,services,"[""harrahs entertainment inc"",""harrahs operating company inc"",""het"",""jazz casino company llc"",""jcc holding co"",""jcc holding company""]","[""harrah's entertainment inc"",""harrah's operating company inc"",""het"",""hoci"",""jazz casino company llc"",""jcc holding co"",""jcc holding company""]",0,false,true,true,false,false,1021352/000095013401501430/d85930ex10-05.txt
2011,QTR2,102198,000136086511000063,COMPETITIVE TECHNOLOGIES INC,8-K,2011-05-04,https://mcc.law.stanford.edu/data/102198/000136086511000063/cttc8kmay42011x10-3.txt,EX-10.3,EX-10,text/plain,services,"[""chalmers"",""competitive technologies inc"",""miller"",""spero pain relief therapy inc""]","[""chalmers"",""competitive technologies inc"",""miller"",""spero pain relief therapy inc"",""spero pain relief therapy llc""]",0,false,true,false,false,false,102198/000136086511000063/cttc8kmay42011x10-3.txt
2011,QTR2,102198,000136086511000081,COMPETITIVE TECHNOLOGIES INC,8-K,2011-05-31,https://mcc.law.stanford.edu/data/102198/000136086511000081/cttc8kmarineox10-1.txt,EX-10.1,EX-10,text/plain,services,"[""competitive technologies inc"",""delta research and development"",""giuseppe marineo""]","[""competitive technologies inc"",""delta research and development"",""giuseppe marineo""]",0,false,true,true,false,false,102198/000136086511000081/cttc8kmarineox10-1.txt
2002,QTR2,1024096,000089322002000620,BALANCED CARE CORP,10-Q,2002-05-10,https://mcc.law.stanford.edu/data/1024096/000089322002000620/w60386ex10-21.txt,EX-10.21,EX-10,text/plain,services,"[""balanced care corp"",""balanced care tenant inc"",""meditrust acquisition company ii llc""]","[""balanced care corp"",""balanced care tenant (mt) inc"",""meditrust acquisition company ii llc""]",0,false,true,true,false,false,1024096/000089322002000620/w60386ex10-21.txt
2002,QTR2,1024096,000089322002000620,BALANCED CARE CORP,10-Q,2002-05-10,https://mcc.law.stanford.edu/data/1024096/000089322002000620/w60386ex10-22.txt,EX-10.22,EX-10,text/plain,services,"[""balanced care corp"",""chippewa inc""]","[""balanced care corp"",""chippewa inc""]",0,false,true,true,false,false,1024096/000089322002000620/w60386ex10-22.txt
2001,QTR2,1027702,000091205701506515,EPIX MEDICAL INC,10-K,2001-04-02,https://mcc.law.stanford.edu/data/1027702/000091205701506515/a2042769zex-10_33.txt,EX-10.33,EX-10,text/plain,services,"[""epix medical inc"",""schering aktiengesellschaft""]","[""epix medical inc"",""schering aktiengesellschaft""]",0,false,true,false,false,false,1027702/000091205701506515/a2042769zex-10_33.txt
2001,QTR2,1028911,000102891101500012,WATERFORD GAMING LLC,10-Q,2001-05-14,https://mcc.law.stanford.edu/data/1028911/000102891101500012/exhibit.txt,EX-10,EX-10,text/plain,services,"[""mohegan tribal gaming authority"",""mohegan tribe of indians of connecticut"",""tca"",""waterford gaming llc""]","[""mohegan tribal gaming authority"",""mohegan tribe of indians of connecticut"",""mtga"",""tca"",""waterford gaming llc""]",0,false,true,true,false,true,1028911/000102891101500012/exhibit.txt
