year,quarter,cik,accession,company_name,form_type,date_filed,contract_link,exhibit,exhibit_lead,content_type,label,parties,parties_raw,image_count,ocr_labeled,amend,restate,joinder,termination,archive_name
2001,QTR3,100030,000095015201503475,TRW INC,10-Q,2001-07-31,https://mcc.law.stanford.edu/data/100030/000095015201503475/l89508aex10-apdf.pdf,EX-10.A,EX-10,application/pdf,employment,"[""new york stock ex"",""trw inc""]","[""new york stock ex"",""trw inc""]",0,false,true,false,false,false,100030/000095015201503475/l89508aex10-apdf.pdf
2001,QTR3,100030,000095015201503475,TRW INC,10-Q,2001-07-31,https://mcc.law.stanford.edu/data/100030/000095015201503475/l89508aex10-bpdf.pdf,EX-10.B,EX-10,application/pdf,employment,"[""new york stock ex"",""trw inc""]","[""new york stock ex"",""trw inc""]",0,false,true,false,false,false,100030/000095015201503475/l89508aex10-bpdf.pdf
2001,QTR3,100030,000095015201503475,TRW INC,10-Q,2001-07-31,https://mcc.law.stanford.edu/data/100030/000095015201503475/l89508aex10-cpdf.pdf,EX-10.C,EX-10,application/pdf,employment,"[""trw inc""]","[""trw inc""]",0,false,false,false,false,false,100030/000095015201503475/l89508aex10-cpdf.pdf
2001,QTR3,100030,000095015201503475,TRW INC,10-Q,2001-07-31,https://mcc.law.stanford.edu/data/100030/000095015201503475/l89508aex10-dpdf.pdf,EX-10.D,EX-10,application/pdf,employment,"[""trw inc""]","[""trw inc""]",0,false,false,false,false,false,100030/000095015201503475/l89508aex10-dpdf.pdf
2001,QTR3,100030,000095015201503475,TRW INC,10-Q,2001-07-31,https://mcc.law.stanford.edu/data/100030/000095015201503475/l89508aex10-epdf.pdf,EX-10.E,EX-10,application/pdf,employment,"[""trw inc""]","[""trw inc""]",0,false,false,false,false,false,100030/000095015201503475/l89508aex10-epdf.pdf
2001,QTR3,100030,000095015201503475,TRW INC,10-Q,2001-07-31,https://mcc.law.stanford.edu/data/100030/000095015201503475/l89508aex10-fpdf.pdf,EX-10.F,EX-10,application/pdf,employment,"[""trw inc""]","[""trw inc""]",0,false,false,false,false,false,100030/000095015201503475/l89508aex10-fpdf.pdf
2001,QTR3,100030,000095015201503475,TRW INC,10-Q,2001-07-31,https://mcc.law.stanford.edu/data/100030/000095015201503475/l89508aex10-gpdf.pdf,EX-10.G,EX-10,application/pdf,employment,"[""trw inc""]","[""trw inc""]",0,false,true,true,false,false,100030/000095015201503475/l89508aex10-gpdf.pdf
2001,QTR3,100030,000095015201503475,TRW INC,10-Q,2001-07-31,https://mcc.law.stanford.edu/data/100030/000095015201503475/l89508aex10-hpdf.pdf,EX-10.H,EX-10,application/pdf,employment,"[""trw inc""]","[""trw inc""]",0,false,false,false,false,false,100030/000095015201503475/l89508aex10-hpdf.pdf
2001,QTR3,100030,000095015201503475,TRW INC,10-Q,2001-07-31,https://mcc.law.stanford.edu/data/100030/000095015201503475/l89508aex10-ipdf.pdf,EX-10.I,EX-10,application/pdf,employment,"[""trw inc""]","[""trw inc""]",0,false,false,false,false,false,100030/000095015201503475/l89508aex10-ipdf.pdf
2001,QTR3,100030,000095015201503475,TRW INC,10-Q,2001-07-31,https://mcc.law.stanford.edu/data/100030/000095015201503475/l89508aex10-jpdf.pdf,EX-10.J,EX-10,application/pdf,employment,"[""david m cote"",""trw inc""]","[""david m cote"",""trw inc""]",0,false,true,true,false,false,100030/000095015201503475/l89508aex10-jpdf.pdf
2023,QTR2,1004724,000095017023012916,"REGIONAL HEALTH PROPERTIES, INC",10-K,2023-04-14,https://mcc.law.stanford.edu/data/1004724/000095017023012916/rhe-ex10_1d.pdf,,,application/pdf,employment,"[""regional health properties inc""]","[""regional health properties inc""]",0,false,false,false,false,false,1004724/000095017023012916/rhe-ex10_1d.pdf
